Name	Formula	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-1000              	 BaTe                 	1.4153126269437202	1.726851	-24.32095699079011	-29.124171	-16.492191345840855
mp-1002124           	 HfC                  	0.11558332188699523	0.139134	-9.248913200421836	-11.117524	-16.807796408428388
mp-1002164           	 GeC                  	0.23765126034825423	0.291462	-22.96675167144133	-28.083588	-18.2200234833194
mp-10044             	 BAs                  	0.006832421972670698	0.008339	-0.5882244438052036	-0.717847	-18.05712863532152
mp-1008223           	 CaSe                 	1.0700857696266954	1.317878	-34.9779108904153	-42.482682	-17.665483336444474
mp-1008506           	 BaGaSiH              	0.1166284455627212	0.162606	-8.85087563594733	-7.755426	14.12494472834027
mp-1008556           	 AlGaN2               	0.5025398693723622	0.619312	-49.81316957029328	-59.854204	-16.7758215107275
mp-1008559           	 BP                   	0.010922856083947375	0.013762	-1.0980486550017527	-1.384844	-20.709577757368137
mp-10086             	 YSF                  	1.149810221645995	1.307943	-53.7851422266737	-59.410186	-9.468147050282427
mp-1008680           	 TiGePt               	0.16332838597280436	0.201012	-5.237532072506253	-6.370733	-17.78760666149008
mp-1008786           	 MgTe                 	0.6595989208472048	0.809846	-20.48538908832561	-24.941314	-17.865638160340662
mp-1009082           	 MgSnAs2              	0.03986918758628312	0.055042	-1.294756900652605	-1.627153	-20.42807894201683
mp-1009084           	 BeSnAs2              	0.0932433743143323	0.116269	-3.3785227561517206	-3.267452	3.399307966933273
mp-1009085           	 BeSiP2               	0.08918141190270057	0.107357	-5.939867537029892	-6.79432	-12.575982040441247
mp-1009087           	 BeSiAs2              	0.06634929829254568	0.078071	-3.6339981084704767	-4.010764	-9.393868388404886
mp-1009088           	 BeGeAs2              	0.05816513582272727	0.070926	-2.3457793920133314	-2.380746	-1.4687248445095948
mp-1009127           	 MgO                  	1.8077717995444893	2.245306	-137.46674358657592	-166.619483	-17.49659696964975
mp-1009129           	 MgO                  	1.5369118571383014	1.900708	-126.15495879912494	-152.256793	-17.143296983061404
mp-1009733           	 Ca2Si                	0.3110938117857253	0.381083	-10.750714390935721	-13.118159	-18.047079693608524
mp-1009792           	 RuC                  	0.0967323043584517	0.120625	-8.581741383248898	-10.688552	-19.71090767721485
mp-1009813           	 SiSn                 	0.0032602989257794917	0.003816	-0.1400714127097603	-0.163942	-14.560385557233468
mp-1009819           	 SrO                  	3.2037807236268536	3.946675	-187.3001719758561	-220.124549	-14.911729370150306
mp-1009820           	 SnC                  	0.07316126625939161	0.09063	-5.8008808623649	-7.179436	-19.20144058161533
mp-1011695           	 Cs2Se                	2.1157098276474464	2.607603	-33.1442297288995	-39.679391	-16.46991323808499
mp-1014244           	 ZrZnN2               	1.4165996643906558	1.856111	-114.15003662909454	-133.797015	-14.684167932225877
mp-10159             	 K3Sb                 	0.8786236433886048	1.10056	-11.169178569821897	-13.546005	-17.54632771933941
mp-10163             	 NaAlTe2              	0.7230388094146526	1.082914	-19.626462783868735	-22.096639	-11.178968059944612
mp-10167             	 Na3SbS4              	2.3309523961106464	3.475439	-70.24589888769088	-77.234039	-9.048005520349792
mp-1018040           	 MgSe                 	0.5747540918628665	0.708408	-23.89089461237906	-29.24784	-18.31569574922777
mp-1018096           	 Ba2NF                	2.2368324263211896	3.102824	-103.5696233389207	-120.737515	-14.2191858604008
mp-1018100           	 AlSb                 	0.06520312422895475	0.07329	-2.650293405541282	-2.976224	-10.951144620119933
mp-10182             	 LiZnP                	0.3146758190629086	0.399057	-14.54394898202742	-17.527563	-17.02241217431414
mp-1020019           	 Li2PNO2              	1.5217494463882728	2.047046	-172.20550086252246	-197.566479	-12.836680729364788
mp-1020059           	 LiGe2N3              	0.580019626875629	0.756314	-54.992165897438326	-66.720545	-17.578362260922294
mp-10219             	 YOF                  	2.263178655871699	3.019243	-157.39224550683105	-180.079893	-12.598656693542656
mp-1022              	 K2S                  	1.9933677695185856	2.458671	-58.63707179804486	-70.383302	-16.688944491344188
mp-10223             	 Na2PdS2              	1.5257485361715117	1.872623	-46.64991836184781	-45.592632	2.3189851418268814
mp-10226             	 NaYS2                	1.5235711361932618	1.876503	-62.789026339147696	-73.071335	-14.071603674480981
mp-10246             	 Na2PtS2              	1.5653808880762292	1.928726	-45.66774298415169	-43.65698	4.605822446151085
mp-10250             	 BaLiF3               	3.8000382005924993	5.057729	-206.5732257428772	-231.687507	-10.839721822861513
mp-10281             	 ZnS                  	0.38540452896492433	0.471989	-16.276934488260917	-19.828997	-17.9134754609075
mp-10289             	 Ca(BC)2              	0.15702297780386842	0.216004	-18.015631269216644	-18.105957	-0.4988729995512284
mp-1029              	 BaF2                 	3.696538511036375	4.578057	-163.21956627940233	-191.100948	-14.589870962125035
mp-10322             	 BaHfN2               	0.9290939992487582	1.246679	-60.0899206415424	-56.22939	6.865681170545149
mp-10341             	 SrGeTeO6             	1.7089516010934491	2.360103	-124.57478554711412	-136.048058	-8.43324970716295
mp-10378             	 Cs3Sb                	1.156393552046359	1.464184	-11.196214146035523	-13.333721	-16.030835308197
mp-10408             	 K2CN2                	2.6428396925434696	4.494341	-186.47239394746939	-165.69121	12.542116113141653
mp-10417             	 KSbO2                	1.8700582043807643	4.356767	-113.14805101687747	-146.897339	-22.974744275743834
mp-10418             	 RbSbO2               	2.8501413944769753	6.77798	-165.4277623941801	-202.621444	-18.356241507103217
mp-10485             	 BaLiSb               	0.8283349257397987	1.131544	-16.582227828792195	-18.613598	-10.913366514135548
mp-10492             	 Rb2SiF6              	3.9195754859892484	6.820168	-216.82769413707075	-200.346046	8.226590175416163
mp-10550             	 SrMg2N2              	0.6893753763072246	0.955492	-44.5494082405457	-53.164788	-16.2050486488431
mp-10572             	 NaPN2                	1.4662148522488556	2.254954	-169.52388326460076	-189.641025	-10.60801149719543
